item_brand,brand_eco_score
Arms of Andes,0.6499999999999999
Royal Robbins,0.5125
Fjallraven,0.5
Smartwool,0.4669791666666666
On,0.4611111111111111
Mountain Equipment,0.44999999999999996
Marmot,0.44999999999999996
Altra,0.44999999999999996
Saxx,0.44999999999999996
Snow Peak,0.44999999999999996
Darn Tough,0.4333333333333333
Farm to Feet,0.4333333333333333
Woolrich,0.4333333333333333
Hot Chillys,0.4333333333333333
Cotopaxi,0.41
Icebreaker,0.4041666666666666
Patagonia,0.37499999999999994
The North Face,0.37083333333333335
prAna,0.35000000000000003
humangear,0.35
Injinji,0.3499999999999999
Outdoor Research,0.337
Timberland,0.325
Vuori,0.30000000000000004
REI Co-op,0.292962962962963
La Sportiva,0.28500000000000003
Asolo,0.27499999999999997
Arc'teryx,0.264375
Merrell,0.25625
Columbia,0.25394736842105264
Oboz,0.25
Carolina Mfg.,0.25
Black Diamond,0.24999999999999994
KUHL,0.20714285714285713
Salomon,0.20000000000000004
adidas,0.2
Keen,0.2
Salewa,0.2
Buff,0.2
Scarpa,0.2
HART Outdoor,0.2
Mammut,0.2
Aku,0.2
Sunday Afternoons,0.175
REI Co-op ,0.175
Free Country,0.175
Mountain Hardwear,0.15
Whistles for LIFE,0.1
