brand_name,brand_eco_score,avg_price
Arms of Andes,0.6499999999999999,95.0
Royal Robbins,0.5125,82.73
Fjallraven,0.5,152.5
Smartwool,0.4669791666666666,22.011875
On,0.4611111111111111,213.33333333333334
Mountain Equipment,0.44999999999999996,99.95
Marmot,0.44999999999999996,48.73
Altra,0.44999999999999996,190.0
Saxx,0.44999999999999996,34.83
Snow Peak,0.44999999999999996,79.95
Darn Tough,0.4333333333333333,23.648666666666667
Farm to Feet,0.4333333333333333,14.73
Woolrich,0.4333333333333333,18.23
Hot Chillys,0.4333333333333333,44.73
Cotopaxi,0.41,37.298
Icebreaker,0.4041666666666666,15.896666666666667
Patagonia,0.37499999999999994,50.7325
The North Face,0.37083333333333335,74.5311111111111
prAna,0.35000000000000003,84.57666666666667
humangear,0.35,15.95
Injinji,0.3499999999999999,12.0
Outdoor Research,0.337,137.678
Timberland,0.325,93.23
Vuori,0.30000000000000004,104.965
REI Co-op,0.292962962962963,55.69109375
La Sportiva,0.28500000000000003,194.746
Asolo,0.27499999999999997,183.91
Arc'teryx,0.264375,291.85375
Merrell,0.25625,124.54750000000001
Columbia,0.25394736842105264,72.3615
Oboz,0.25,200.0
Carolina Mfg.,0.25,6.0
Black Diamond,0.24999999999999994,115.84
KUHL,0.20714285714285713,101.83285714285715
Salomon,0.20000000000000004,180.0
adidas,0.2,109.83
Keen,0.2,138.365
Salewa,0.2,125.73
Buff,0.2,19.0
Scarpa,0.2,169.0
HART Outdoor,0.2,15.95
Mammut,0.2,66.73
Aku,0.2,200.0
Sunday Afternoons,0.175,50.0
REI Co-op ,0.175,99.95
Free Country,0.175,49.73
Mountain Hardwear,0.15,61.23
Whistles for LIFE,0.1,8.95
